City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
4030556,Rikitea,PF,-23.1203,-134.9692,73.36,71,10,10.56
4946620,Palmer,US,42.1584,-72.3287,72.43,55,40,1.01
3361934,Saldanha,ZA,-33.0117,17.9442,60.85,91,100,8.93
3466704,Castro,BR,-24.7911,-50.0119,63.82,80,100,6.51
3985710,Cabo San Lucas,MX,22.8909,-109.9124,84.18,76,1,1.99
546105,Nikolskoye,RU,59.7035,30.7861,64.29,99,37,5.12
2038650,Anda,CN,46.4,125.3167,47.3,92,0,7.31
3355672,Lüderitz,NA,-26.6481,15.1594,60.21,66,13,8.9
1489499,Togur,RU,58.3631,82.8265,41.83,96,33,6.51
4032243,Vaini,TO,-21.2,-175.2,71.76,94,90,6.91
2063036,Port Lincoln,AU,-34.7333,135.8667,53.55,58,88,18.03
2208248,Kaitangata,NZ,-46.2817,169.8464,42.48,87,92,6.22
1507116,Dudinka,RU,69.4058,86.1778,39.38,90,100,9.17
1529376,Korla,CN,41.7597,86.1469,73.96,29,61,3.29
2020738,Litovko,RU,49.2361,135.1742,47.25,89,73,7.45
2123814,Leningradskiy,RU,69.3833,178.4167,28.15,91,100,19.89
5122534,Jamestown,US,42.097,-79.2353,72.0,57,1,7.0
5554428,Ketchikan,US,55.3422,-131.6461,54.07,100,90,13.8
2134814,Sola,VU,-13.8833,167.55,78.6,77,74,15.57
5106841,Albany,US,42.6001,-73.9662,70.56,66,54,5.12
3366880,Hermanus,ZA,-34.4187,19.2345,59.81,79,97,14.76
2074865,Carnarvon,AU,-24.8667,113.6333,62.67,67,0,17.27
3393922,Nísia Floresta,BR,-6.0911,-35.2086,86.38,49,41,16.08
3577430,Road Town,VG,18.4167,-64.6167,80.62,78,40,19.57
655563,Joutseno,FI,61.118,28.5076,55.76,70,100,8.9
2206939,Bluff,NZ,-46.6,168.3333,46.8,70,100,21.12
2112802,Hasaki,JP,35.7333,140.8333,73.8,89,80,6.44
3369157,Cape Town,ZA,-33.9258,18.4232,60.87,80,75,5.01
6167817,Torbay,CA,47.6666,-52.7314,69.03,70,20,31.07
2120612,Tigil',RU,57.8,158.6667,36.48,76,93,3.98
490554,Sorochinsk,RU,52.4338,53.1583,51.26,55,35,4.85
1797873,Sanbu,CN,33.4594,119.1453,70.56,98,4,6.13
535839,Leshukonskoye,RU,64.8989,45.7622,40.28,86,32,7.05
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,87,75,14.97
935215,Saint-Philippe,RE,-21.3585,55.7679,68.34,82,48,14.63
3433715,Goya,AR,-29.14,-59.2626,77.43,34,0,9.98
934322,Mahébourg,MU,-20.4081,57.7,71.89,78,40,13.8
6165406,Thompson,CA,55.7435,-97.8558,48.36,66,90,18.41
5697939,North Platte,US,41.1239,-100.7654,78.69,47,1,10.36
161616,Balkanabat,TM,39.5108,54.3671,83.23,19,0,12.1
3874787,Punta Arenas,CL,-53.15,-70.9167,48.31,37,0,14.97
1015776,Bredasdorp,ZA,-34.5322,20.0403,60.12,72,100,9.22
3939168,Huarmey,PE,-10.0681,-78.1522,67.57,75,93,10.67
610298,Beyneu,KZ,45.3167,55.2,73.0,29,0,6.06
1276328,Bhadrāchalam,IN,17.6667,80.8833,75.9,96,100,2.95
5870133,Nome,US,64.5011,-165.4064,42.87,82,90,5.75
3354071,Oranjemund,NA,-28.55,16.4333,58.41,74,17,7.09
2634096,Whitehaven,GB,54.549,-3.5841,61.66,87,94,1.99
6185377,Yellowknife,CA,62.456,-114.3525,46.92,81,75,13.8
3430863,Mar del Plata,AR,-38.0023,-57.5575,55.42,88,90,9.22
1180752,Dajal,PK,29.5577,70.3762,90.01,53,1,10.71
2171099,Codrington,AU,-38.2667,141.9667,45.16,80,68,13.85
1713154,Gasan,PH,13.3237,121.8467,75.11,80,100,9.95
6201424,Mataura,NZ,-46.1927,168.8643,46.47,91,100,4.72
64814,Bandarbeyla,SO,9.4942,50.8122,78.66,78,68,29.39
539233,Kumukh,RU,42.1704,47.1161,56.62,88,29,2.28
2242885,Camabatela,AO,-8.1881,15.375,72.18,61,88,5.77
932987,Tsabong,BW,-26.0217,22.401,72.48,13,0,10.98
4711647,Mineral Wells,US,32.8085,-98.1128,82.92,28,0,12.28
2110227,Butaritari,KI,3.0707,172.7902,82.92,77,56,19.77
962367,Richards Bay,ZA,-28.783,32.0377,69.22,65,0,17.31
1282256,Hithadhoo,MV,-0.6,73.0833,83.39,69,79,7.0
1006984,East London,ZA,-33.0153,27.9116,85.14,39,0,8.05
3932145,Pisco,PE,-13.7,-76.2167,62.65,82,90,8.05
1507390,Dikson,RU,73.5069,80.5464,41.34,86,100,13.04
5282297,Bethel,US,41.3712,-73.414,72.86,61,1,4.0
3628473,San Cristobal,VE,7.7669,-72.225,75.38,71,100,7.02
2090021,Namatanai,PG,-3.6667,152.4333,79.05,80,89,4.92
4031574,Provideniya,RU,64.3833,-173.3,42.1,85,100,12.71
2409914,Bonthe,SL,7.5264,-12.505,81.86,71,83,7.99
1735199,Sungai Besar,MY,3.6746,100.9867,80.65,88,100,2.91
3155152,Gravdal,NO,68.1214,13.5031,48.83,67,44,7.72
1258338,Ratnagiri,IN,16.9833,73.3,79.12,89,50,12.93
2075265,Busselton,AU,-33.65,115.3333,40.05,85,6,7.34
4034551,Faanui,PF,-16.4833,-151.75,77.54,61,18,13.04
2654970,Brae,GB,60.3964,-1.353,53.51,80,100,17.85
5975004,High Level,CA,58.5169,-117.136,48.31,93,75,10.36
1153035,Kathu,TH,7.9178,98.3332,82.22,82,100,11.43
1502862,Kolpashevo,RU,58.3131,82.9089,41.86,96,33,6.31
1786538,Yining,CN,29.0361,114.5636,74.14,93,48,2.37
5762718,Belle Fourche,US,44.6714,-103.8522,70.32,32,84,6.04
3984997,San Quintín,MX,30.4833,-115.95,77.68,70,5,9.33
2022572,Khatanga,RU,71.9667,102.5,45.52,60,13,12.28
3833367,Ushuaia,AR,-54.8,-68.3,44.26,57,40,8.05
2126710,Beringovskiy,RU,63.05,179.3167,37.6,98,100,19.64
2126785,Belaya Gora,RU,68.5333,146.4167,34.38,72,99,6.4
286621,Salalah,OM,17.0151,54.0924,80.69,94,75,5.75
3443061,Chui,UY,-33.6971,-53.4616,62.38,75,42,4.12
964432,Port Alfred,ZA,-33.5906,26.891,77.88,53,12,3.18
3894426,Coyhaique,CL,-45.5752,-72.0662,44.55,81,90,3.44
3440777,Rocha,UY,-34.4833,-54.3333,64.09,71,60,4.21
3444199,Puerto Suárez,BO,-18.95,-57.8,91.96,33,0,8.05
5848280,Kapaa,US,22.0752,-159.319,72.37,70,20,16.11
4035715,Avarua,CK,-21.2078,-159.775,73.45,94,40,5.75
1734705,Kuala Terengganu,MY,5.3302,103.1408,78.75,94,20,2.3
1528998,Yumen,CN,40.2833,97.2,65.34,32,97,13.24
2132606,Samarai,PG,-10.6167,150.6667,78.8,84,96,14.45
2138555,Poum,NC,-20.2333,164.0167,69.6,68,7,10.67
2122493,Omsukchan,RU,62.5333,155.8,25.29,84,22,4.38
